province,zone,ea,Id_hh,hh_size,hh_size_male,hh_size_female,ag_area,nb_cow,nb_buffalo,nb_donkeys,nb_sheep,nb_goat,nb_pig,nb_chicken,nb_duck,TLUs
1,1,40,"5,084",4,1,3,0.62,2,2,0,0,2,0,3,0,2.23
1,1,40,"5,127",2,2,0,0.71,0,0,0,0,0,0,2,0,0.02
1,1,40,"5,082",11,1,10,0.41,1,1,0,0,0,0,0,0,1
1,1,40,"5,101",3,2,1,0.61,0,0,0,0,0,0,0,2,0.06
1,1,40,"5,051",6,3,3,0.68,0,0,0,0,0,0,0,0,0
1,1,40,"5,095",4,3,1,0.31,0,0,0,0,0,0,0,0,0
1,1,40,"5,050",1,0,1,0.01,0,0,0,0,0,0,0,0,0
1,1,40,"5,125",7,3,4,0.17,0,0,0,0,1,0,0,0,0.1
1,1,40,"5,092",1,0,1,0.1,2,0,0,0,0,0,5,0,1.05
1,1,40,"5,100",5,2,3,0.27,0,0,0,0,3,0,0,1,0.33
1,1,40,"5,048",5,3,2,0.59,1,1,0,0,0,0,0,0,1
1,1,40,"5,119",6,2,4,1.02,8,2,0,0,15,2,10,0,7
1,1,40,"5,079",5,2,3,0.61,0,1,0,0,6,0,1,0,1.11
1,1,40,"5,094",5,2,3,0.31,3,0,0,0,15,1,16,0,3.36
1,1,40,"5,077",4,1,3,0.34,0,0,0,0,0,0,0,0,0
1,1,40,"5,108",5,3,2,0.51,2,4,0,0,6,0,3,0,3.63
1,1,40,"5,116",8,4,4,0.41,3,0,0,0,0,0,0,0,1.5
1,1,40,"5,093",3,1,2,0.05,0,0,0,0,5,0,7,0,0.57
1,1,40,"5,068",8,3,5,0.14,4,2,0,0,1,0,5,0,3.15
1,1,40,"5,054",3,2,1,0.17,0,0,0,0,0,1,0,0,0.2
1,1,40,"5,106",9,5,4,0,2,1,0,0,1,0,0,0,1.6
1,1,40,"5,110",1,0,1,0.36,0,0,0,0,5,0,2,0,0.52
1,1,40,"5,072",5,2,3,0.68,0,1,0,0,0,0,0,0,0.5
1,1,40,"5,043",6,3,3,0.07,0,0,0,0,0,0,8,0,0.08
1,1,40,"5,104",4,2,2,0.15,3,1,0,0,4,0,0,0,2.4
1,1,40,"5,121",5,2,3,0.2,1,0,0,0,0,0,0,0,0.5
1,1,40,"5,071",5,3,2,0.15,3,2,0,0,10,0,12,0,3.62
1,1,40,"5,141",5,4,1,0.14,3,0,0,0,0,0,7,0,1.57
1,1,40,"5,074",7,3,4,1.06,6,2,0,0,2,0,8,0,4.28
1,1,40,"5,137",3,1,2,0.17,0,0,0,0,0,0,0,0,0
1,1,40,"5,103",6,2,4,0.11,1,1,0,0,3,0,4,0,1.34
1,1,40,"5,042",7,3,4,0.07,0,1,0,0,2,0,1,0,0.71
1,1,40,"5,076",11,4,7,0.29,4,5,0,0,2,0,0,0,4.7
1,1,40,"5,063",6,3,3,0,1,0,0,0,6,0,0,0,1.1
1,1,40,"5,046",3,1,2,0.17,0,1,0,0,0,1,0,0,0.7
1,1,40,"5,057",4,3,1,0.1,0,0,0,0,0,0,0,0,0
1,1,40,"5,111",6,2,4,0.47,6,1,0,0,8,0,10,0,4.4
1,1,40,"5,129",5,2,3,0.05,0,0,0,0,0,0,0,0,0
1,1,40,"5,138",5,1,4,0.83,0,2,0,0,3,0,2,0,1.32
1,1,40,"5,086",8,4,4,0.2,2,0,0,3,0,0,0,0,1.3
1,1,40,"5,073",3,1,2,0.18,0,1,0,0,2,0,0,0,0.7
1,1,40,"5,065",1,0,1,0.17,0,0,0,0,0,0,0,0,0
1,1,40,"5,105",2,1,1,2.71,0,0,0,0,0,0,0,0,0
1,1,40,"5,135",5,2,3,0.42,2,1,0,0,3,0,0,0,1.8
1,1,40,"5,115",8,4,4,0.51,4,0,0,0,2,0,0,4,2.32
1,1,40,"5,078",6,2,4,0.06,2,0,0,0,0,0,0,0,1
1,1,40,"5,055",7,4,3,1.35,1,0,0,0,0,0,0,0,0.5
1,1,40,"5,099",5,3,2,0.31,3,1,0,0,4,0,0,0,2.4
1,1,40,"5,059",4,2,2,0.2,1,1,0,0,0,0,0,0,1
1,1,40,"5,123",4,3,1,0.34,1,2,0,0,6,0,6,0,2.16
1,1,40,"5,056",6,3,3,0,3,0,0,0,0,0,0,0,1.5
1,1,40,"5,132",4,1,3,0.2,3,0,1,7,0,0,7,0,3.07
1,1,40,"5,102",3,1,2,0.15,0,1,0,0,2,0,4,0,0.74
1,1,40,"5,112",2,1,1,0.15,2,1,0,0,7,0,12,0,2.32
1,1,40,"5,047",6,2,4,0.08,0,0,0,0,2,1,0,0,0.4
1,1,40,"5,067",6,2,4,0.51,5,0,0,0,2,0,2,0,2.72
1,1,40,"5,122",9,6,3,0.2,3,0,0,0,9,1,20,0,2.8
1,1,40,"5,097",5,2,3,0.51,0,0,0,0,2,0,0,0,0.2
1,1,40,"5,090",5,3,2,0.51,1,0,1,0,8,0,3,0,2.13
1,1,40,"5,049",7,4,3,1.69,5,0,0,0,3,0,0,0,2.8
1,1,40,"5,089",6,5,1,0.05,2,0,0,0,4,0,0,0,1.4
1,1,40,"5,143",4,1,3,0.01,0,0,0,0,0,0,0,0,0
1,1,40,"5,069",4,3,1,2.54,3,0,0,0,0,0,5,0,1.55
1,1,40,"5,040",3,2,1,0.07,1,0,0,0,0,0,0,0,0.5
1,1,40,"5,045",1,0,1,0.41,0,0,0,0,2,0,0,0,0.2
1,1,40,"5,085",3,1,2,0.51,2,1,0,0,0,0,4,0,1.54
1,1,40,"5,061",4,2,2,0.21,4,0,0,0,9,0,4,0,2.94
1,1,40,"5,113",7,4,3,0.68,2,0,0,0,1,1,1,0,1.31
1,1,40,"5,130",6,2,4,1.02,5,2,0,0,6,0,11,0,4.21
1,1,40,"5,083",6,4,2,1.27,4,2,0,0,8,0,10,0,3.9
1,1,40,"5,109",4,2,2,0.13,0,0,0,0,0,0,7,0,0.07
1,1,40,"5,134",4,1,3,1.18,3,0,0,0,4,0,2,0,1.92
1,1,40,"5,131",2,0,2,0.22,0,0,0,0,0,0,0,0,0
1,1,40,"5,087",7,5,2,0.34,0,0,0,0,0,0,0,0,0
1,1,40,"5,091",3,1,2,0.73,0,0,0,0,7,0,0,0,0.7
1,1,40,"5,117",4,2,2,0.2,0,1,0,0,6,0,1,0,1.11
1,1,40,"5,058",2,1,1,0.14,0,0,0,0,3,0,0,0,0.3
1,1,40,"5,126",3,1,2,0.2,0,0,0,0,5,0,1,0,0.51
1,1,40,"5,088",7,6,1,0.36,4,1,0,0,0,0,0,0,2.5
1,1,40,"5,133",7,1,6,0,4,0,0,0,6,2,6,0,3.06
1,1,40,"5,081",9,5,4,0.46,1,3,0,0,8,0,7,0,2.87
1,1,40,"5,062",3,0,3,0.79,0,2,0,0,2,0,0,0,1.2
1,1,40,"5,107",3,1,2,0.25,0,1,0,0,2,0,0,0,0.7
1,1,40,"5,124",6,3,3,0.51,1,0,0,0,6,0,0,0,1.1
1,1,40,"5,142",4,2,2,0.25,2,0,0,0,0,1,2,0,1.22
1,1,40,"5,118",10,3,7,0.1,4,0,0,0,0,0,0,0,2
1,1,40,"5,096",5,2,3,0.68,0,0,0,0,3,0,5,0,0.35
1,1,40,"5,075",4,1,3,0.36,1,0,0,0,2,0,0,0,0.7
1,1,40,"5,070",4,1,3,3.39,2,0,0,0,3,0,0,0,1.3
1,1,40,"5,128",6,1,5,1.02,2,2,0,0,5,2,4,0,2.94
1,1,40,"5,136",8,4,4,0.49,6,0,0,0,0,2,12,0,3.52
1,1,40,"5,120",5,1,4,0.51,0,0,0,0,0,0,0,0,0
1,1,40,"5,064",12,6,6,1.35,2,0,0,0,2,0,0,0,1.2
1,1,40,"5,060",6,3,3,0.1,0,2,0,0,1,0,4,0,1.14
1,1,40,"5,041",8,1,7,1.69,0,0,0,0,1,0,0,0,0.1
1,1,40,"5,139",8,4,4,0.48,0,3,0,0,2,1,4,0,1.94
1,1,40,"5,080",2,1,1,0.44,0,0,0,0,0,0,0,0,0
1,1,40,"5,114",6,2,4,0.34,0,0,0,0,0,0,2,0,0.02
1,1,40,"5,140",2,1,1,0.1,0,0,0,0,0,0,0,0,0
1,1,40,"5,052",6,4,2,0.46,0,2,0,0,4,0,0,0,1.4
1,1,40,"5,098",6,2,4,0.18,0,0,0,0,0,0,0,0,0
1,1,40,"5,053",8,3,5,0.51,2,1,0,0,2,1,2,0,1.92
1,1,40,"5,044",5,3,2,0.94,0,3,0,0,6,0,0,0,2.1
1,1,51,"6,557",8,3,5,0.68,4,0,0,0,0,0,0,0,2
1,1,51,"6,470",6,2,4,0.68,1,3,0,0,0,0,0,0,2
1,1,51,"6,484",6,2,4,0.2,1,2,0,0,2,0,0,0,1.7
1,1,51,"6,529",2,1,1,1.27,9,0,0,0,11,0,5,0,5.65
1,1,51,"6,502",5,3,2,0.3,2,0,0,0,0,0,0,0,1
1,1,51,"6,492",3,1,2,0.18,0,1,0,0,1,0,3,0,0.63
1,1,51,"6,550",5,2,3,0.01,1,0,0,0,0,0,10,0,0.6
1,1,51,"6,510",5,1,4,0.41,4,0,0,0,12,1,9,0,3.49
1,1,51,"6,487",6,4,2,0.87,1,2,0,0,10,3,4,0,3.14
1,1,51,"6,553",6,2,4,0.76,3,4,0,0,5,0,10,0,4.1
1,1,51,"6,535",3,1,2,0.43,1,0,0,0,6,0,2,0,1.12
1,1,51,"6,536",7,4,3,0.74,1,1,0,0,0,0,0,0,1
1,1,51,"6,494",2,1,1,0.66,2,0,0,0,0,0,2,0,1.02
1,1,51,"6,473",6,2,4,0.25,2,1,0,0,0,0,0,0,1.5
1,1,51,"6,506",5,2,3,0.17,0,1,0,0,1,0,0,0,0.6
1,1,51,"6,493",4,2,2,0.22,0,1,0,0,3,0,0,0,0.8
1,1,51,"6,544",4,0,4,0.1,0,2,0,0,0,0,0,0,1
1,1,51,"6,488",6,1,5,1.23,8,2,0,0,16,0,2,0,6.62
1,1,51,"6,554",5,3,2,0.09,0,0,0,0,2,0,0,0,0.2
1,1,51,"6,517",4,1,3,0.52,2,0,0,0,0,0,5,0,1.05
1,1,51,"6,558",7,2,5,0,0,4,0,0,13,0,12,0,3.42
1,1,51,"6,516",3,1,2,0.23,2,2,0,0,1,0,0,0,2.1
1,1,51,"6,499",5,4,1,0.27,0,3,0,0,0,0,0,0,1.5
1,1,51,"6,546",6,3,3,0.25,0,2,0,5,0,0,1,0,1.51
1,1,51,"6,545",5,2,3,0,0,1,0,0,1,0,0,0,0.6
1,1,51,"6,528",5,3,2,0.17,0,0,0,0,0,0,0,0,0
1,1,51,"6,508",3,0,3,0.39,0,1,0,0,0,0,0,0,0.5
1,1,51,"6,548",5,4,1,1.02,2,2,0,0,0,0,0,0,2
1,1,51,"6,521",5,3,2,0.68,2,0,0,0,3,0,9,0,1.39
1,1,51,"6,526",5,3,2,0,3,0,0,0,2,0,0,0,1.7
1,1,51,"6,485",4,3,1,1.35,4,2,0,0,2,1,0,0,3.4
1,1,51,"6,527",6,4,2,0.92,2,1,0,2,6,0,5,0,2.35
1,1,51,"6,531",2,1,1,0.61,1,2,0,0,1,0,0,0,1.6
1,1,51,"6,523",6,3,3,0.2,1,1,0,0,3,0,0,0,1.3
1,1,51,"6,556",10,5,5,0.68,0,0,0,0,0,0,0,0,0
